,n_lines,n_vip_lines,cost,gold_wait,silver_wait,regular_wait,vip_no_lines,regular_no_lines,gold_7,gold_8,gold_9,gold_10,gold_11,silver_7,silver_8,silver_9,silver_10,silver_11,regular_7,regular_8,regular_9,regular_10,regular_11
54,55.0,5.0,243600.0,1.0,0.9990084283589491,0.9793258426966291,0.007348029392117569,0.20257695060844666,5.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,10.0,5.0,8.0,10.0,5.0,5.0
55,55.0,5.0,243600.0,1.0,0.9989939637826962,0.9878706199460916,0.0047879616963064295,0.19560518731988472,5.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,10.0,5.0,9.0,9.0,5.0,5.0
56,55.0,5.0,240400.0,1.0,0.9989914271306102,0.9876146788990826,0.005407232173031429,0.20408908360715589,5.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,10.0,5.0,8.0,9.0,5.0,5.0
57,55.0,5.0,243600.0,1.0,0.9985221674876849,0.9757516973811832,0.009240924092409241,0.2324284120490889,5.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,10.0,5.0,9.0,9.0,5.0,5.0
58,55.0,5.0,243600.0,1.0,0.9980295566502464,0.9594272076372315,0.008239947264337508,0.23548621190130625,5.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,10.0,5.0,9.0,9.0,5.0,5.0
59,55.0,5.0,238800.0,1.0,0.9989832231825114,0.999062792877226,0.005398110661268557,0.2104681164762256,5.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,10.0,6.0,9.0,9.0,5.0,5.0
60,55.0,5.0,242000.0,1.0,0.9994957135653052,0.970961887477314,0.0026908846283215607,0.19293775027302512,5.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,10.0,6.0,10.0,9.0,5.0,5.0
61,55.0,5.0,234000.0,1.0,0.9944862155388472,0.9615384615384616,0.01042367182246133,0.21822712709149164,5.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,8.0,6.0,10.0,9.0,5.0,5.0
62,55.0,5.0,237200.0,1.0,0.9995014955134596,0.9844393592677344,0.005739365293720459,0.20537986186841148,5.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,8.0,6.0,10.0,9.0,5.0,6.0
63,55.0,5.0,234000.0,1.0,0.995090819833088,0.983788791106994,0.007018716577540107,0.2197325623418865,5.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,8.0,6.0,9.0,9.0,5.0,6.0
64,55.0,5.0,222000.0,1.0,0.9846913580246912,0.977886977886978,0.009395973154362415,0.2551244509516837,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,8.0,6.0,9.0,9.0,5.0,6.0
65,55.0,5.0,182800.0,0.9977827050997784,0.9574678536102867,0.8924449108079748,0.011494252873563218,0.3040491684743312,3.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,4.0,6.0,9.0,9.0,5.0,6.0
